16:27:42: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 45] Logger initialized
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:46: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:52: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:52: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:53: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:53: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:54: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:54: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:55: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:56: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:57: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:27:58: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 76] Received a valid command
16:28:01: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/tests/integration/mock_drones/command_drone.py | main | 83] Passed!
