16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0. 0. 4.]
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 120] CHANGE ALTITUDE: 1
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0. 0. 1.]
16:27:43: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 120] CHANGE ALTITUDE: -1
16:27:44: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         0.         0.66666667]
16:27:44: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.  0.  0.5]
16:27:45: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.  0.  0.4]
16:27:45: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         0.         0.33333333]
16:27:46: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         0.         0.28571429]
16:27:46: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.   2.5  0.25]
16:27:46: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 63.43494882292201
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         4.44444444 0.22222222]
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 90.0
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.  6.  0.2]
16:27:47: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 116.56505117707799
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [1.81818182 5.45454545 0.18181818]
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 45.0
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [3.33333333 5.         0.16666667]
16:27:48: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 63.43494882292201
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [4.61538462 4.61538462 0.15384615]
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 90.0
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [4.28571429 2.85714286 0.14285714]
16:27:49: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 26.565051177077976
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [4.         1.33333333 0.13333333]
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 45.0
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [3.75  0.    0.125]
16:27:50: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 90.0
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [2.35294118 0.         0.11764706]
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 45.0
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [1.11111111 0.         0.11111111]
16:27:51: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 150] CHANGE YAW: 90.0
16:27:52: [INFO] [/Users/dd/Documents/Projects/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 96] Average velocity so far: [0.         0.         0.10526316]
